Image File,Caption,Tokenized Caption,Encoded Tokens
img/insta2,<start> bye  <end>,"['<start>', 'bye', '<end>']","[2, 209, 3]"
img/insta3,"<start> Ok, a few more... sorry I just had so much fun that day  <end>","['<start>', 'ok', ',', 'a', 'few', 'more', '...', 'sorry', 'i', 'just', 'had', 'so', 'much', 'fun', 'that', 'day', '<end>']","[2, 635, 1, 8, 688, 72, 1, 478, 6, 31, 137, 24, 79, 89, 61, 36, 3]"
img/insta5,<start> Wrapped round my finger like a ring  <end>,"['<start>', 'wrapped', 'round', 'my', 'finger', 'like', 'a', 'ring', '<end>']","[2, 2675, 636, 4, 1501, 37, 8, 952, 3]"
img/insta7,<start> Well..  <end>,"['<start>', 'well', '..', '<end>']","[2, 379, 1, 3]"
img/insta10,<start> Did it again  rare  <end>,"['<start>', 'did', 'it', 'again', 'rare', '<end>']","[2, 239, 20, 184, 2112, 3]"
img/insta11,<start> R.A.R.E  <end>,"['<start>', 'r.a.r.e', '<end>']","[2, 1, 3]"
img/insta15,<start> There must be a sweeter place.  <end>,"['<start>', 'there', 'must', 'be', 'a', 'sweeter', 'place', '.', '<end>']","[2, 201, 771, 41, 8, 2676, 300, 1, 3]"
img/insta16,<start> I gotta get you out my head now… I just cut you off.  <end>,"['<start>', 'i', 'got', 'ta', 'get', 'you', 'out', 'my', 'head', 'now…', 'i', 'just', 'cut', 'you', 'off', '.', '<end>']","[2, 6, 63, 1, 64, 7, 30, 4, 369, 3550, 6, 31, 719, 7, 122, 1, 3]"
img/insta17,"<start> You may not be the one, but you look like fun.  <end>","['<start>', 'you', 'may', 'not', 'be', 'the', 'one', ',', 'but', 'you', 'look', 'like', 'fun', '.', '<end>']","[2, 7, 689, 84, 41, 5, 56, 1, 71, 7, 54, 37, 89, 1, 3]"
img/insta18,"<start> I think you’re kinda crazy… and not the good kind, baby.  <end>","['<start>', 'i', 'think', 'you', '’', 're', 'kinda', 'crazy…', 'and', 'not', 'the', 'good', 'kind', ',', 'baby', '.', '<end>']","[2, 6, 219, 7, 1, 11186, 382, 5406, 12, 84, 5, 33, 600, 1, 38, 1, 3]"
img/insta19,<start> People can go from people you know to people you don’t.  <end>,"['<start>', 'people', 'can', 'go', 'from', 'people', 'you', 'know', 'to', 'people', 'you', 'don', '’', 't', '.', '<end>']","[2, 202, 101, 62, 52, 202, 7, 90, 9, 202, 7, 1964, 1, 601, 1, 3]"
img/insta21,<start> Hi New Year. Let’s make this one better than the rest.  <end>,"['<start>', 'hi', 'new', 'year', '.', 'let', '’', 's', 'make', 'this', 'one', 'better', 'than', 'the', 'rest', '.', '<end>']","[2, 102, 23, 543, 1, 192, 1, 468, 114, 16, 56, 203, 210, 5, 637, 1, 3]"
img/insta22,<start> Feels so good to dance again  <end>,"['<start>', 'feels', 'so', 'good', 'to', 'dance', 'again', '<end>']","[2, 321, 24, 33, 9, 353, 184, 3]"
img/insta27,<start> AMAs day.. more to come..  <end>,"['<start>', 'amas', 'day', '..', 'more', 'to', 'come', '..', '<end>']","[2, 953, 36, 1, 72, 9, 172, 1, 3]"
img/insta29,<start> Well.. Still here.  <end>,"['<start>', 'well', '..', 'still', 'here', '.', '<end>']","[2, 379, 1, 173, 100, 1, 3]"
img/insta30,<start> Grateful for ze pasta   <end>,"['<start>', 'grateful', 'for', 'ze', 'pasta', '<end>']","[2, 566, 15, 2677, 2678, 3]"
img/insta31,<start> Puma fam. In my Cali Sport.   <end>,"['<start>', 'puma', 'fam', '.', 'in', 'my', 'cali', 'sport', '.', '<end>']","[2, 690, 268, 1, 10, 4, 720, 3551, 1, 3]"
img/insta32,"<start> My love, my heart and my soul   <end>","['<start>', 'my', 'love', ',', 'my', 'heart', 'and', 'my', 'soul', '<end>']","[2, 4, 11, 1, 4, 165, 12, 4, 407, 3]"
img/insta37,<start> I miss when was a bear  <end>,"['<start>', 'i', 'miss', 'when', 'was', 'a', 'bear', '<end>']","[2, 6, 58, 57, 73, 8, 499, 3]"
img/insta38,<start> Family photos  <end>,"['<start>', 'family', 'photos', '<end>']","[2, 91, 875, 3]"
img/insta40,"<start> Georgia, Toronto, Texas met in NY for a quick night   <end>","['<start>', 'georgia', ',', 'toronto', ',', 'texas', 'met', 'in', 'ny', 'for', 'a', 'quick', 'night', '<end>']","[2, 2679, 1, 1036, 1, 3552, 211, 10, 479, 15, 8, 954, 26, 3]"
img/insta42,<start> Some of my favorite moments on set   <end>,"['<start>', 'some', 'of', 'my', 'favorite', 'moments', 'on', 'set', '<end>']","[2, 98, 19, 4, 126, 370, 17, 204, 3]"
img/insta44,<start> Made her more of a woman.  <end>,"['<start>', 'made', 'her', 'more', 'of', 'a', 'woman', '.', '<end>']","[2, 157, 85, 72, 19, 8, 638, 1, 3]"
img/insta45,<start> You promised the world.  <end>,"['<start>', 'you', 'promised', 'the', 'world', '.', '<end>']","[2, 7, 2113, 5, 188, 1, 3]"
img/insta47,<start> I gave my all and they all know it.  <end>,"['<start>', 'i', 'gave', 'my', 'all', 'and', 'they', 'all', 'know', 'it', '.', '<end>']","[2, 6, 1502, 4, 32, 12, 128, 32, 90, 20, 1, 3]"
img/insta48,<start> Rose colored glasses all distorted.  <end>,"['<start>', 'rose', 'colored', 'glasses', 'all', 'distorted', '.', '<end>']","[2, 639, 2680, 1313, 32, 5407, 1, 3]"
img/insta49,<start> We always go into it blindly.  <end>,"['<start>', 'we', 'always', 'go', 'into', 'it', 'blindly', '.', '<end>']","[2, 34, 69, 62, 227, 20, 5408, 1, 3]"
img/insta50,"<start> Me, all the time  <end>","['<start>', 'me', ',', 'all', 'the', 'time', '<end>']","[2, 14, 1, 32, 5, 42, 3]"
img/insta58,"<start> Wednesdays, a huge bright blue comfy and Winnie.   <end>","['<start>', 'wednesdays', ',', 'a', 'huge', 'bright', 'blue', 'comfy', 'and', 'winnie', '.', '<end>']","[2, 2681, 1, 8, 2114, 522, 193, 1162, 12, 2682, 1, 3]"
img/insta60,<start> Siri play “I wanna be your lover”  <end>,"['<start>', 'siri', 'play', '“', 'i', 'wan', 'na', 'be', 'your', 'lover', '”', '<end>']","[2, 5409, 340, 1724, 6, 1, 3465, 41, 49, 1388, 1, 3]"
img/insta61,<start> LQDCELL Shatter  by   <end>,"['<start>', 'lqdcell', 'shatter', 'by', '<end>']","[2, 5411, 5412, 28, 3]"
img/insta63,"<start> Me, Italy -trying desperately to look like a Fellini film  <end>","['<start>', 'me', ',', 'italy', '-trying', 'desperately', 'to', 'look', 'like', 'a', 'fellini', 'film', '<end>']","[2, 14, 1, 2116, 5413, 3553, 9, 54, 37, 8, 5414, 955, 3]"
img/insta68,<start> All combo -biker jacket and butterfly parker bag  <end>,"['<start>', 'all', 'combo', '-biker', 'jacket', 'and', 'butterfly', 'parker', 'bag', '<end>']","[2, 32, 5415, 5416, 876, 12, 1503, 2117, 877, 3]"
img/insta72,<start> hi Cannes...you’re very pretty  <end>,"['<start>', 'hi', 'cannes', '...', 'you', '’', 're', 'very', 'pretty', '<end>']","[2, 102, 691, 1, 7, 1, 11186, 269, 194, 3]"
